pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
-1.3,0.28,-0.84,-1.55,-1.27,0.79,1.05,0,0.01,0,0
-1.72,0.41,-0.64,-0.96,-1.85,2.91,1.03,0.03,0.01,0,1
-1.01,-0.06,-0.01,-0.67,-4.39,2.9,1.02,0.09,0,0,2
-0.79,0.21,0.86,3.7,-13.36,0.61,1,0.02,-0.02,0,3
-0.63,-0.22,1.59,-0.38,8.41,3.08,1.03,0.03,-0.01,0,4
2.14,-0.51,1.62,-0.33,5.25,-1.09,1.02,-0.02,-0.01,0,5
1.05,-0.52,1.21,2.45,-6.86,-0.92,1.02,-0.02,-0.01,0,6
-0.23,0.16,1.06,4.95,-5.33,0.16,1.03,0,0,0,7
-2.17,0.28,0.93,5.5,-3.38,-0.16,1,0.03,-0.01,0,8
-3.94,0.61,0.59,11.18,7.54,-1.53,1.02,0.09,-0.01,0,9
-1.2,-2.49,1.91,21.03,102.41,36.1,1.01,-0.16,0.08,0,10
12.6,1.68,3.54,-18.12,60.71,1.96,0.77,-0.2,0.03,0,11
15.56,-0.63,1.9,-48.5,47.49,-11.42,0.86,-0.16,-0.1,0,12
12.85,-6.9,0.65,-35.95,41.26,-4.07,1.01,0.02,-0.17,0,13
3.29,-2.62,1.1,-24.07,81.23,-4.8,1.12,0.06,-0.06,0,14
5.89,-1.76,-1.25,-8.74,82.44,-0.81,1.16,-0.03,0,0,15
6.74,-2.64,1.33,-25.86,0.3,6.88,1.26,0.05,-0.25,0,16
14.41,-7.22,2.93,-19.45,296.35,23.35,0.97,-0.22,0,0,17
32.82,-2.58,-0.5,-4.97,96.74,-12.69,0.99,-0.42,-0.07,0,18
29.36,-17.2,-0.59,-16.48,75.2,21.92,0.77,-0.26,-0.12,0,19
15.81,-2.21,-4.61,1.55,4.57,-11.62,0.85,-0.16,0.24,0,20
15.77,-2.27,-8.02,-2.41,63.58,4.22,1.14,-0.31,0.01,0,21
18.17,-10.33,-5.31,13.74,51.12,32.32,0.99,-0.4,0.36,0,22
23.58,-0.43,-8.83,12.48,11.03,-10.37,1.21,-0.5,0.06,0,23
2.38,-9.72,-13.37,-12.79,-73.04,-12.45,0.86,0.15,-0.47,0,24
-13.35,-1.96,-14.79,36.95,-55.26,-5.15,0.96,0.31,0.05,0,25
2.67,0.93,-14.46,4.31,13.19,7.93,1.32,-0.34,-0.05,0,26
5.13,2.46,-8.48,-22.82,1.35,13.64,1.12,0.03,0.39,0,27
6.35,-6.69,-10.89,-20.76,-40.02,-12.95,1.32,-0.08,-0.31,0,28
-7.77,0.71,-13.67,81.53,-111.93,-48.1,0.92,0.3,-0.02,0,29
-0.12,1.3,-14.73,-9.02,95.96,38.5,1.19,-0.09,0.03,0,30
13.31,-2.8,-6.26,43.27,113.28,62.29,1.12,-0.22,0.59,0,31
21.02,1.05,-6.59,13.97,-2.25,-16.29,1.28,-0.48,0.05,0,32
9.28,-5.5,-11.51,-23.66,-32.11,-31.09,1.16,-0.01,-0.26,0,33
-1.84,0.72,-13.81,45,-147.62,-48.05,1,0.24,0.05,0,34
2.37,2.82,-14.12,10.26,28.8,15.8,1.16,-0.11,0.03,0,35
5.06,1.48,-11.14,-45.95,106.65,10.25,1.25,0.02,0.3,0,36
27.99,1.48,-9.06,-8.77,2.39,-10.6,1.1,-0.52,0.05,0,37
5.06,-16.52,-11.93,32.89,181.61,40.68,0.9,-0.11,0.08,0,38
0.4,0.97,-10.64,-30.94,193.8,51.34,1.41,-0.2,0.19,0,39
