pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex,,acc
1.94,1.2,3.5,-0.82,-1.89,-0.19,1.04,0.01,-0.01,0,0,,1.040096149
-0.89,0.02,3.63,1.02,-1,0.75,1.04,0.01,0,0,1,,1.040048076
-1.15,-0.11,3.72,2.65,2.11,1.06,1.04,0.02,0,0,2,,1.04019229
-0.95,-0.02,3.78,1.12,2.55,0.59,1.05,0.02,0.01,0,3,,1.050238068
-1.67,0.27,4.03,2.05,8.39,3.79,1.03,0.02,-0.01,0,4,,1.03024269
-0.18,0.33,4.75,3.95,7.56,2.68,1.04,0,0.02,0,5,,1.04019229
0.49,0.61,5.16,8.66,-3.23,-2.8,1.01,-0.01,0,0,6,,1.010049504
0.02,-0.34,5.36,-1.32,-2.38,1.85,1.01,-0.01,0,0,7,,1.010049504
0.89,-0.1,5.75,-2.85,-2.39,2.22,1.01,-0.02,-0.01,0,8,,1.010247494
2.95,-1.72,5.82,-1.75,16.65,-0.7,1.1,-0.07,-0.04,0,9,,1.102950588
4.57,0.18,3.63,7.29,-10.18,-10.7,1.05,-0.1,0,0,10,,1.054751155
-8.56,-0.81,1.17,-26.72,0.83,-3.14,0.95,0.3,-0.05,0,11,,0.997496867
-5.25,1.86,4.05,-11.67,38.39,2.62,0.97,0.21,0.08,0,12,,0.995690715
-0.03,0.06,6.44,-21.96,150.32,21.82,1.17,0.16,0.02,0,13,,1.181058847
6.93,-6.81,11.98,-37.18,205.12,60.59,1.31,-0.04,-0.21,0,14,,1.327328143
22.44,-0.55,18.9,24.01,54.6,7.73,1.3,-0.53,0.02,0,15,,1.404029914
18.56,0.32,19.6,1.66,-19.31,-2.82,1.36,-0.44,-0.01,0,16,,1.42944045
5.31,-2.24,22.93,27.55,-42.47,28.04,0.94,0.03,-0.15,0,17,,0.952365476
-9.74,-2.89,14.04,13.23,-172.67,-33.31,0.75,0.58,-0.32,0,18,,1.000649789
-20.56,1.68,6.42,39.95,-32.5,-24.04,1.07,0.25,-0.05,0,19,,1.099954545
-18.97,8.51,5.51,24.28,-61.89,7.66,0.94,0.37,0.12,0,20,,1.017300349
-5.25,6.42,12.43,-50.8,-72.07,-21,0.75,0.32,0.1,0,21,,0.821522976
9.14,4.16,11.35,-7.12,30.11,-15.12,1.2,-0.15,0.07,0,22,,1.211362869
-6.21,-12.99,5.79,-15.64,-7.2,-25.46,1.04,0.21,-0.2,0,23,,1.079675877
-16.13,7.88,5.51,18.92,0.37,4.89,1.17,0.03,0.19,0,24,,1.18570654
-9.15,0.89,7.06,-24.24,30.19,24.82,1.11,0.26,-0.02,0,25,,1.140219277
8.35,-1.39,12.79,-9.87,119.84,24.54,1.36,-0.21,0.09,0,26,,1.379057649
6.71,1.44,11.37,-1.27,-19.68,-10.47,1.19,-0.04,-0.05,0,27,,1.191721444
-0.71,-2.19,8.8,15.06,-149.49,-28.04,1.09,0.03,0.08,0,28,,1.093343496
-7.93,7.55,10.94,-18.27,22.48,25.79,1.24,0.08,0.22,0,29,,1.261903324
-4.2,-7.74,14.55,30.74,131.38,39.15,1.1,-0.01,0.21,0,30,,1.119910711
10.62,3.67,15.6,6.66,18.63,-8.33,1.28,-0.14,0.09,0,31,,1.290774961
0.05,-8.84,15.25,-36.56,22.98,13.59,1.39,-0.01,-0.48,0,32,,1.470578118
-13.03,4.38,14.47,26.79,48.81,11.61,1.28,0.09,0.24,0,33,,1.305411812
0.01,1.65,17.11,-24.86,29.58,16.54,1.26,0.04,-0.16,0,34,,1.270747811
2.3,-0.69,20.46,-34.68,109.77,10.98,1.09,-0.01,-0.26,0,35,,1.120624826
9.82,3.71,19.36,-14.3,-7.61,1.98,1.32,-0.17,0.17,0,36,,1.34171532
0.94,0.4,18.15,-1.96,-172.53,-45.49,1.48,0.08,0.11,0,37,,1.486236859
-4.12,12.16,16.72,-7.12,41.44,9.27,1.28,0.05,0.28,0,38,,1.311220805
-4.17,-4.93,21.08,44.37,199.77,52.2,1.24,-0.11,0.28,0,39,,1.275970219
7.78,2.79,19.65,6.04,-21.42,0.56,1.07,0.03,-0.01,0,40,,1.070467188
-6.76,-12.68,15.56,-48.11,-30.79,-26.01,1.14,0.2,-0.5,0,41,,1.260793401
-15.3,8.62,13.63,29.72,-70.55,-11.05,1.36,0.05,0.37,0,42,,1.410319113
-8.35,-1.84,12.45,11.4,15.94,8.49,1.22,0.09,-0.43,0,43,,1.296688089
4.95,2.46,16.53,23.37,45.65,-2.18,1.14,-0.2,0.11,0,44,,1.162626337
6.21,5.17,15.64,3.44,-44.81,-4.1,1.18,-0.13,0.08,0,45,,1.189831921
-12.88,-1.1,13.22,21.81,-157.86,-7.64,0.98,0.31,0.09,0,46,,1.031794553
-18.72,9.34,16.67,5.26,31.06,36.2,1.23,0.21,0.22,0,47,,1.267043804
5.67,-2.66,24.05,51.37,-23.13,-16.85,1.36,-0.3,0.69,0,48,,1.554252232
-8.77,-0.42,22.9,24.83,-148.55,-2.3,1.26,-0.01,-0.07,0,49,,1.261982567
-9.78,7.07,23.18,5.2,-92.58,-22.77,1.68,-0.25,0.08,0,50,,1.70038231
-39.57,8.3,13.69,68.33,-206.97,-0.73,1.2,0.63,0.26,0,51,,1.380036231
